currency,rate,date
NOK,9.2443,2016-04-22
HRK,7.49,2016-04-22
RUB,74.2513,2016-04-22
TRY,3.1886,2016-04-22
AUD,1.457,2016-04-22
BRL,4.0218,2016-04-22
CAD,1.4342,2016-04-22
CNY,7.3159,2016-04-22
HKD,8.7368,2016-04-22
IDR,14871.07,2016-04-22
ILS,4.2401,2016-04-22
INR,74.9425,2016-04-22
KRW,1287.41,2016-04-22
MXN,19.6823,2016-04-22
MYR,4.3943,2016-04-22
NZD,1.6364,2016-04-22
PHP,52.658,2016-04-22
SGD,1.5211,2016-04-22
THB,39.432,2016-04-22
ZAR,16.1846,2016-04-22
USD,1.1355,2016-04-21
JPY,124.5,2016-04-21
BGN,1.9558,2016-04-21
CZK,27.024,2016-04-21
DKK,7.4411,2016-04-21
GBP,0.78693,2016-04-21
HUF,310.7,2016-04-21
PLN,4.3085,2016-04-21
RON,4.4815,2016-04-21
SEK,9.1845,2016-04-21
CHF,1.0989,2016-04-21
NOK,9.2015,2016-04-21
HRK,7.487,2016-04-21
RUB,73.8545,2016-04-21
TRY,3.1962,2016-04-21
AUD,1.4496,2016-04-21
BRL,4.0043,2016-04-21
CAD,1.4346,2016-04-21
CNY,7.3525,2016-04-21
HKD,8.8088,2016-04-21
IDR,14903.44,2016-04-21
ILS,4.2705,2016-04-21
INR,75.2595,2016-04-21
KRW,1286.36,2016-04-21
MXN,19.6232,2016-04-21
MYR,4.4105,2016-04-21
NZD,1.6262,2016-04-21
PHP,52.822,2016-04-21
SGD,1.5252,2016-04-21
THB,39.743,2016-04-21
ZAR,16.0999,2016-04-21
USD,1.1379,2016-04-20
JPY,124.2,2016-04-20
BGN,1.9558,2016-04-20
CZK,27.021,2016-04-20
DKK,7.443,2016-04-20
GBP,0.791,2016-04-20
HUF,309.05,2016-04-20
PLN,4.2875,2016-04-20
RON,4.4827,2016-04-20
SEK,9.1643,2016-04-20
CHF,1.0939,2016-04-20
NOK,9.2336,2016-04-20
HRK,7.5023,2016-04-20
